relative_path,artifact_type,source_files,description
baseline_comparison.png,chart,baseline_summary.csv,Chart source mapping
baseline_final_metrics.csv,data,,Experiment artifact
baseline_method_metadata.csv,data,,Experiment artifact
baseline_summary.csv,data,,Experiment artifact
environment.json,data,,Experiment artifact
run_command.txt,data,,Experiment artifact
run_config.json,data,,Experiment artifact
data_artifacts/client_partition_manifest.csv,data,,Experiment artifact
data_artifacts/dataset_manifest.json,data,,Experiment artifact
data_artifacts/failure_plan.npy,data,,Experiment artifact
dp_fl/agg_client_counts.png,chart,metrics.csv,Chart source mapping
dp_fl/artifact_manifest.csv,data,,Experiment artifact
dp_fl/delta_norm.png,chart,metrics.json,Chart source mapping
dp_fl/dp_noise_scale.png,chart,metrics.csv,Chart source mapping
dp_fl/ebcd_alerts.png,chart,metrics.csv,Chart source mapping
dp_fl/global_metrics.png,chart,metrics.csv;metrics.json,Chart source mapping
dp_fl/metrics.csv,data,,Experiment artifact
dp_fl/metrics.json,data,,Experiment artifact
dp_fl/per_client_ebcd_stats.npy,data,,Experiment artifact
dp_fl/per_client_epsilon.npy,data,,Experiment artifact
dp_fl/per_client_update_norms.npy,data,,Experiment artifact
dp_fl/per_client_update_norms.png,chart,per_client_update_norms.npy,Chart source mapping
dp_fl/per_client_zkip_status.npy,data,,Experiment artifact
dp_fl/tcm_state_count.png,chart,metrics.csv;tcm_manifest.csv,Chart source mapping
dp_fl/zkip_failures.png,chart,metrics.csv,Chart source mapping
dp_flprox/agg_client_counts.png,chart,metrics.csv,Chart source mapping
dp_flprox/artifact_manifest.csv,data,,Experiment artifact
dp_flprox/delta_norm.png,chart,metrics.json,Chart source mapping
dp_flprox/dp_noise_scale.png,chart,metrics.csv,Chart source mapping
dp_flprox/ebcd_alerts.png,chart,metrics.csv,Chart source mapping
dp_flprox/global_metrics.png,chart,metrics.csv;metrics.json,Chart source mapping
dp_flprox/metrics.csv,data,,Experiment artifact
dp_flprox/metrics.json,data,,Experiment artifact
dp_flprox/per_client_ebcd_stats.npy,data,,Experiment artifact
dp_flprox/per_client_epsilon.npy,data,,Experiment artifact
dp_flprox/per_client_update_norms.npy,data,,Experiment artifact
dp_flprox/per_client_update_norms.png,chart,per_client_update_norms.npy,Chart source mapping
dp_flprox/per_client_zkip_status.npy,data,,Experiment artifact
dp_flprox/tcm_state_count.png,chart,metrics.csv;tcm_manifest.csv,Chart source mapping
dp_flprox/zkip_failures.png,chart,metrics.csv,Chart source mapping
dp_fedsgd/agg_client_counts.png,chart,metrics.csv,Chart source mapping
dp_fedsgd/artifact_manifest.csv,data,,Experiment artifact
dp_fedsgd/delta_norm.png,chart,metrics.json,Chart source mapping
dp_fedsgd/dp_noise_scale.png,chart,metrics.csv,Chart source mapping
dp_fedsgd/ebcd_alerts.png,chart,metrics.csv,Chart source mapping
dp_fedsgd/global_metrics.png,chart,metrics.csv;metrics.json,Chart source mapping
dp_fedsgd/metrics.csv,data,,Experiment artifact
dp_fedsgd/metrics.json,data,,Experiment artifact
dp_fedsgd/per_client_ebcd_stats.npy,data,,Experiment artifact
